"x"
"Cistus salviifolius L."
"Lonicera caprifolium L."
"Aristolochia clematitis L."
"Pancratium maritimum L."
"Platanthera chlorantha (Custer) Rchb."
"Jacobaea erucifolia (L.) P.Gaertn., B.Mey & Scherb. subsp. erucifolia"
"Ligustrum vulgare L."
"Odontites vernus (Bellardi) Dumort. subsp. serotinus (Dumort.) Corb."
"Potentilla reptans L."
"Arisarum vulgare O.Targ.Tozz. subsp. vulgare"
"Oenanthe peucedanifolia Pollich"
"Ervum gracile DC."
"Azolla filiculoides Lam."
"Ceratophyllum demersum L."
"Hedera helix L. subsp. helix"
"Asplenium trichomanes L. subsp. trichomanes"
"Pistacia terebinthus L. subsp. terebinthus"
"Equisetum palustre L."
"Myrtus communis L."
"Ficus carica L."
"Phalaris coerulescens Desf."
"Pinus pinaster Aiton"
"Cerastium semidecandrum L."
"Trifolium dubium Sibth."
"Medicago ciliaris (L.) All."
"Quercus ilex L. subsp. ilex"
"Veronica officinalis L."
"Spergula arvensis L."
"Crepis leontodontoides All."
"Prunus spinosa L. subsp. spinosa"
"Hypericum androsaemum L."
"Oenanthe fistulosa L."
"Nasturtium officinale R.Br."
"Atriplex prostrata Boucher ex DC."
"Lathyrus sphaericus Retz."
"Erica arborea L."
"Lathyrus aphaca L. subsp. aphaca"
"Lathyrus clymenum L."
"Carex sylvatica Huds. subsp. sylvatica"
"Medicago intertexta (L.) Mill."
"Centaurea aplolepa Moretti subsp. subciliata (DC.) Arcang."
"Genista germanica L."
"Typha latifolia L."
"Lysimachia nummularia L."
"Melica uniflora Retz."
"Bellardia viscosa (L.) Fisch. & C.A.Mey."
"Lythrum salicaria L."
"Lonicera implexa Aiton subsp. implexa"
"Euphorbia chamaesyce L."
"Onobrychis caput-galli (L.) Lam."
"Cornus mas L."
"Quercus robur L. subsp. robur"
"Tuberaria guttata (L.) Fourr."
"Phyla nodiflora (L.) Greene"
"Equisetum ramosissimum Desf. subsp. ramosissimum"
"Achillea maritima (L.) Ehrend. & Y.P.Guo subsp. maritima"
"Euonymus europaeus L."
"Sporobolus virginicus (L.) Kunth"
"Fraxinus ornus L. subsp. ornus"
